date,close,foreign_net,institution_net
2026.06.30,334000.0,-2627167.0,2731943.0
2026.07.01,314500.0,-3377992.0,-1855765.0
2026.07.02,286000.0,-5007053.0,-2166435.0
2026.07.03,309500.0,-1365575.0,4369649.0
2026.07.06,318000.0,-2018562.0,14823.0
2026.07.07,296000.0,-6145090.0,-1852807.0
2026.07.08,277500.0,-3015093.0,971031.0
2026.07.09,278000.0,845552.0,1107761.0
2026.07.10,285000.0,625985.0,2313745.0
2026.07.13,254500.0,-716994.0,-3246131.0
2026.07.14,263000.0,-1128775.0,5326105.0
2026.07.15,279500.0,1799843.0,-413531.0
2026.07.16,255000.0,-826076.0,-4567849.0
2026.07.20,244000.0,1129083.0,-1468948.0
2026.07.21,259000.0,1943936.0,1823763.0
2026.07.22,260500.0,2136159.0,-1718094.0
2026.07.23,270000.0,1299490.0,-120579.0
2026.07.24,249500.0,-3428259.0,-3378638.0
2026.07.27,254000.0,-3319368.0,487617.0
2026.07.28,220000.0,-6554668.0,-635592.0
2026.07.29,208500.0,-3550689.0,5971830.0
2026.07.30,207000.0,656680.0,-237928.0
2026.07.31,262500.0,8359011.0,3618959.0
2026.08.03,239500.0,-3896489.0,-5039954.0
2026.08.04,240000.0,850527.0,-3924513.0
2026.08.05,246000.0,2298577.0,-2078706.0
2026.08.06,230500.0,-3134136.0,-1220335.0
2026.08.07,231000.0,-1737367.0,36604.0
2026.08.10,230000.0,-4394465.0,625055.0
2026.08.11,239500.0,2462529.0,319290.0
2026.08.12,255500.0,5802466.0,776871.0
2026.08.13,268000.0,-401379.0,5544777.0
2026.08.14,274500.0,4913433.0,-1830920.0
